央视,#genre#
CCTV-1 综合,http://119.114.35.209:9901/tsfile/live/1156_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://119.114.35.209:9901/tsfile/live/1157_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://119.114.35.209:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 国际,http://119.114.35.209:9901/tsfile/live/1158_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5 体育,http://119.114.35.209:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+ 体育赛事,http://119.114.35.209:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6 电影,http://119.114.35.209:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7 国防军事,http://119.114.35.209:9901/tsfile/live/1159_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8 电视剧,http://119.114.35.209:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9 记录,http://119.114.35.209:9901/tsfile/live/1160_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10 科教,http://119.114.35.209:9901/tsfile/live/1161_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11 戏曲,http://119.114.35.209:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12 社会与法,http://119.114.35.209:9901/tsfile/live/1162_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13 新闻,http://119.114.35.209:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14 少儿,http://119.114.35.209:9901/tsfile/live/1163_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15 音乐,http://119.114.35.209:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16 奥林匹克,http://119.114.35.209:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17 农业农村,http://119.114.35.209:9901/tsfile/live/1164_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 世界地理,http://119.114.35.209:9901/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 风云剧场,http://119.114.35.209:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 怀旧剧场,http://119.114.35.209:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 风云足球,http://119.114.35.209:9901/tsfile/live/1122_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 风云音乐,http://119.114.35.209:9901/tsfile/live/1123_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 第一剧场,http://119.114.35.209:9901/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1 综合,http://125.32.116.75:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经,http://125.32.116.75:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3 综艺,http://125.32.116.75:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4 国际,http://125.32.116.75:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5 体育,http://125.32.116.75:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6 电影,http://125.32.116.75:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7 国防军事,http://125.32.116.75:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8 电视剧,http://125.32.116.75:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9 记录,http://125.32.116.75:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10 科教,http://125.32.116.75:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11 戏曲,http://125.32.116.75:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12 社会与法,http://125.32.116.75:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13 新闻,http://125.32.116.75:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14 少儿,http://125.32.116.75:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15 音乐,http://125.32.116.75:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-1 综合,http://116.235.25.239:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://116.235.25.239:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://116.235.25.239:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 国际,http://116.235.25.239:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5 体育,http://116.235.25.239:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6 电影,http://116.235.25.239:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7 国防军事,http://116.235.25.239:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8 电视剧,http://116.235.25.239:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9 记录,http://116.235.25.239:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10 科教,http://116.235.25.239:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12 社会与法,http://116.235.25.239:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13 新闻,http://116.235.25.239:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14 少儿,http://116.235.25.239:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15 音乐,http://116.235.25.239:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17 农业农村,http://116.235.25.239:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

CHC,#genre#
CHC 动作电影,http://119.114.35.209:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
CHC 家庭影院,http://119.114.35.209:9901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=1&authid=0
CHC 高清电影,http://119.114.35.209:9901/tsfile/live/1104_1.m3u8?key=txiptv&playlive=1&authid=0

卫视,#genre#
黑龙江卫视,http://119.114.35.209:9901/tsfile/live/1145_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://119.114.35.209:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://119.114.35.209:9901/tsfile/live/1165_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://119.114.35.209:9901/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://119.114.35.209:9901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://119.114.35.209:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://119.114.35.209:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://119.114.35.209:9901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://119.114.35.209:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://119.114.35.209:9901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://119.114.35.209:9901/tsfile/live/1152_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://119.114.35.209:9901/tsfile/live/1128_1.m3u8?key=txiptv&playlive=1&authid=0
